iter	Passed	Remaining
858	27758	4556
859	27793	4524
860	27841	4494
861	27874	4462
862	27908	4430
863	27940	4398
864	27968	4365
865	27999	4332
866	28032	4300
867	28064	4267
868	28094	4235
869	28127	4203
870	28160	4170
871	28193	4138
872	28224	4106
873	28256	4073
874	28287	4041
875	28319	4008
876	28351	3976
877	28384	3944
878	28415	3911
879	28448	3879
880	28479	3846
881	28510	3814
882	28542	3781
883	28574	3749
884	28607	3717
885	28642	3685
886	28676	3653
887	28717	3622
888	28750	3589
889	28781	3557
890	28812	3524
891	28843	3492
892	28876	3460
893	28908	3427
894	28939	3395
895	28971	3362
896	29003	3330
897	29033	3297
898	29066	3265
899	29098	3233
900	29129	3200
901	29161	3168
902	29193	3135
903	29227	3103
904	29260	3071
905	29292	3039
906	29324	3006
907	29355	2974
908	29387	2941
909	29419	2909
910	29452	2877
911	29485	2845
912	29515	2812
913	29547	2780
914	29578	2747
915	29614	2715
916	29648	2683
917	29681	2651
918	29713	2618
919	29746	2586
920	29778	2554
921	29810	2521
922	29842	2489
923	29874	2457
924	29907	2424
925	29940	2392
926	29972	2360
927	30008	2328
928	30041	2295
929	30075	2263
930	30107	2231
931	30139	2199
932	30170	2166
933	30200	2134
934	30230	2101
935	30265	2069
936	30296	2037
937	30327	2004
938	30361	1972
939	30394	1940
940	30424	1907
941	30455	1875
942	30487	1842
943	30519	1810
944	30555	1778
945	30588	1746
946	30620	1713
947	30655	1681
948	30689	1649
949	30721	1616
950	30758	1584
951	30792	1552
952	30823	1520
953	30854	1487
954	30887	1455
955	30918	1423
956	30950	1390
957	30981	1358
958	31014	1325
959	31047	1293
960	31079	1261
961	31111	1228
962	31142	1196
963	31174	1164
964	31205	1131
965	31237	1099
966	31265	1066
967	31298	1034
968	31333	1002
969	31366	970
970	31398	937
971	31432	905
972	31465	873
973	31498	840
974	31531	808
975	31564	776
976	31598	743
977	31634	711
978	31669	679
979	31702	646
980	31733	614
981	31765	582
982	31798	549
983	31830	517
984	31864	485
985	31896	452
986	31927	420
987	31959	388
988	31995	355
989	32027	323
990	32060	291
991	32091	258
992	32122	226
993	32153	194
994	32186	161
995	32218	129
996	32250	97
997	32283	64
998	32314	32
999	32345	0
